15, 0, 15, 3210
15, 3015, 1500, 3015
1500, 3210, 1500, 0
1485, 15, 1215, 1015
1485, 1015, 1215, 2015
1500, 2015, 15, 2015
30, 2015, 300, 3015
1500, 2815, 2550, 2815
2550, 2765, 3991, 2765
3991, 3000, 4789, 2715
4789, 3015, 3991, 3015
3991, 3210, 3991, 0
3991, 515, 2550, 515
2550, 1015, 3991, 1015
3991, 1015, 4789, 1500
4789, 1515, 3991, 1515
3991, 1515, 2550, 1515
2550, 1415, 1500, 1415
1500, 1015, 15, 1015
0, 15, 6000, 15
5843, 0, 5843, 3210
4789, 3210, 4789, 0
5316, 15, 5316, 1123
4789, 1123, 5843, 1123
3991, 2015, 2550, 2015
2565, 2015, 2700, 2750
2700, 2750, 3150, 2750
3150, 2750, 3235, 2015
3250, 2015, 3250, 2765
2550, 3210, 2550, 0
